Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,540.650024,542.909973,536.140015,539.059998,512.961304,446500
2018-06-04,543.539978,543.929993,538.159973,540.669983,514.493408,417100
2018-06-05,539.460022,539.880005,531.049988,534.380005,508.507935,495000
2018-06-06,536.820007,551.859985,535.750000,551.859985,527.987244,682100
2018-06-07,555.000000,557.000000,546.700012,549.140015,525.384888,428400
2018-06-08,547.539978,549.640015,544.320007,549.409973,525.643127,370500
2018-06-11,550.770020,552.500000,546.200012,549.059998,525.308289,391800
2018-06-12,551.890015,552.349976,543.489990,547.109985,523.442688,425200
2018-06-13,546.369995,547.520020,530.320007,532.169983,509.148956,839600
2018-06-14,531.429993,532.960022,522.150024,523.359985,500.720032,989500
2018-06-15,520.820007,525.739990,516.000000,524.520020,501.829895,753100
2018-06-18,524.000000,528.289978,519.070007,527.539978,504.719177,483500
2018-06-19,522.229980,528.340027,519.070007,526.609985,503.829407,448500
2018-06-20,528.130005,530.580017,526.070007,526.580017,503.800781,346100
2018-06-21,527.299988,529.169983,520.289978,524.979980,502.269958,571000
2018-06-22,529.900024,529.900024,522.510010,522.739990,500.126831,514300
2018-06-25,520.010010,520.880005,509.220001,515.140015,492.855652,666000
2018-06-26,515.989990,515.989990,507.720001,510.850006,488.751190,740200
2018-06-27,510.459991,516.950012,503.529999,503.529999,481.747864,558200
2018-06-28,503.470001,505.679993,497.339996,501.769989,480.063965,636700
2018-06-29,508.190002,511.829987,498.720001,499.040009,477.452087,701800
2018-07-02,494.059998,499.519989,490.570007,499.519989,477.911346,564000
2018-07-03,502.559998,503.309998,490.910004,491.290009,470.037354,307500
2018-07-05,498.940002,498.940002,488.609985,491.980011,470.697510,513900
2018-07-06,491.480011,497.040009,488.010010,491.690002,470.420013,556300
2018-07-09,494.950012,505.179993,493.940002,504.100006,482.293243,748400
2018-07-10,504.920013,510.910004,502.940002,504.929993,483.087250,484800
2018-07-11,499.880005,505.929993,499.619995,502.899994,481.145111,468600
2018-07-12,506.470001,507.130005,498.049988,506.670013,484.752045,574500
2018-07-13,512.229980,512.500000,504.429993,507.089996,485.153870,786500
2018-07-16,500.000000,506.450012,497.779999,503.959991,482.159271,1212800
2018-07-17,501.299988,505.959991,501.260010,504.880005,483.039459,758800
2018-07-18,504.920013,511.619995,504.880005,510.850006,488.751190,487600
2018-07-19,507.790009,510.309998,502.040009,504.890015,483.049042,684100
2018-07-20,501.600006,504.829987,501.019989,502.779999,481.030273,812400
2018-07-23,502.100006,511.279999,502.100006,508.510010,486.512451,646700
2018-07-24,511.880005,513.000000,506.640015,508.890015,486.876007,688300
2018-07-25,507.929993,512.859985,503.109985,512.489990,490.320251,492800
2018-07-26,512.710022,512.710022,504.799988,505.109985,483.259521,407600
2018-07-27,505.670013,506.420013,500.049988,502.920013,481.164246,571600
2018-07-30,503.700012,504.450012,498.440002,500.179993,478.542786,492100
2018-07-31,503.410004,505.279999,500.700012,502.760010,481.011169,512900
